items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index
GC_00000001	26	34	2	0	0.932948116046708	0.806281314593335	0.865002190282274
GC_00000002	26	28	2	0	0.71868073250057	0.832099861611214	0.771242741013129
GC_00000003	26	27	2	0	0.870421116845642	0.946032471286467	0.90665310207697
GC_00000004	26	26	1	1	0.95882499377645	0.990384615384615	0.97434931391617
GC_00000005	26	26	1	1	0.964902363823227	0.913632300025388	0.93856768568077
GC_00000006	26	26	1	1	0.946507764535934	0.780110998843152	0.855291432325078
GC_00000007	26	26	1	1	0.936049435941654	0.991239316239315	0.96285416681753
GC_00000008	26	26	1	1	0.881860618014464	1.0	0.937222033951599
GC_00000009	26	26	1	1	0.806237161531279	0.998601398601399	0.892167947753036
GC_00000010	26	26	1	1	0.741766188069359	0.921534580734581	0.821935762847182
GC_00000011	26	26	1	1	0.924416873449131	0.902613026635549	0.913384846058862
GC_00000012	26	26	1	1	0.762303547999888	0.871122803325266	0.813088393216781
GC_00000013	26	26	1	1	0.843787763391724	0.962961397576781	0.899444218873552
GC_00000014	26	26	1	1	0.837708116954647	0.795063144283795	0.815828726618865
GC_00000015	26	26	1	1	0.955791881203314	0.990989343622809	0.973072430445573
GC_00000016	26	26	1	1	0.870884146341463	0.724461485209149	0.790953395460026
GC_00000017	26	26	1	1	0.763288596393932	0.91152817082583	0.830847972985311
GC_00000018	26	26	1	1	0.722191239688626	0.946183923603279	0.819151178697981
GC_00000019	26	26	1	1	0.834768662398123	0.978631704116783	0.900993618078931
GC_00000020	26	26	1	1	0.696932622291957	0.953640183341167	0.805324008042174
GC_00000021	26	26	1	1	0.718493661446682	0.882825540472598	0.792227501215934
GC_00000022	26	26	1	1	0.745706669347054	0.981768764591273	0.847608598222725
GC_00000023	26	26	1	1	0.773404738131978	0.852688927029699	0.811113984939942
GC_00000024	26	26	1	1	0.802180655414152	0.997229810687752	0.889133944929192
GC_00000025	26	26	1	1	0.78838768609784	0.992889275586488	0.878899458499496
GC_00000026	26	26	1	1	0.788715395221777	0.964448160535113	0.867774269673274
GC_00000027	26	26	1	1	0.716869050492753	0.891599440033177	0.794743630678726
GC_00000028	26	26	1	1	0.706712969342851	0.841816890709119	0.768371253049059
GC_00000029	26	26	1	1	0.873741258741259	0.983421292786681	0.925342542068229
GC_00000030	26	26	1	1	0.72970426980749	0.936145234066849	0.820133118711834
GC_00000031	26	26	1	1	0.86871610954307	0.96251939799754	0.913215261876543
GC_00000032	26	26	1	1	0.701356358936429	0.951677594083188	0.807563729768888
GC_00000033	26	26	1	1	0.704516008046643	0.963604201288906	0.813939644672785
GC_00000034	26	26	1	1	0.729212822502881	0.938807300042242	0.820841801363332
GC_00000035	26	26	1	1	0.76281776416539	0.958338153074996	0.849472566570455
GC_00000036	26	26	1	1	0.700567650378971	0.906719334985525	0.790422917435544
GC_00000037	26	26	1	1	0.80804469273743	0.989009302545216	0.88941536546754
