layers	GCF_900698845_1	GCF_005080825_1	GCF_005082825_1	GCF_900698905_1	GCF_005083565_1	GCF_009068925_1	GCF_900698915_1	GCF_005081185_1	GCF_900698975_1	GCF_005081705_1	GCF_900699035_1	GCF_005080885_1	GCF_900698895_1	GCF_009069125_1	GCF_005082365_1	GCF_900698945_1	GCF_005080845_1	GCF_900560745_1	GCF_005083345_1	GCF_005080725_1	GCF_900698865_1	GCF_005083105_1	GCF_900699025_1	GCF_005081945_1	GCF_005080745_1	GCF_005080765_1
GCF_005080725_1	142812.0	187058.0	204374.0	158552.0	202395.0	193980.0	170972.0	201809.0	151089.0	196024.0	161277.0	203431.0	170815.0	210972.0	205425.0	163719.0	201170.0	144036.0	206902.0	428356.0	150600.0	209614.0	145138.0	201561.0	180598.0	146139.0
GCF_005080745_1	151437.0	191525.0	289510.0	161425.0	292767.0	269708.0	177669.0	268378.0	146480.0	278681.0	166411.0	277561.0	170898.0	280254.0	280418.0	163721.0	290781.0	147977.0	274528.0	175920.0	156020.0	283753.0	140506.0	288787.0	616452.0	178378.0
GCF_005080765_1	134025.0	176075.0	201446.0	148511.0	202019.0	185547.0	160946.0	189820.0	134458.0	199615.0	151292.0	199003.0	159720.0	199811.0	205453.0	154206.0	195425.0	143233.0	195333.0	150989.0	140973.0	204268.0	137697.0	196968.0	169321.0	548691.0
GCF_005080825_1	155089.0	534071.0	235733.0	160743.0	228776.0	222343.0	192965.0	217527.0	156318.0	218120.0	181809.0	229142.0	189143.0	240561.0	227919.0	171985.0	233139.0	154182.0	232872.0	169380.0	156185.0	245520.0	152189.0	224758.0	169886.0	185408.0
GCF_005080845_1	170430.0	239621.0	599189.0	171344.0	590807.0	582133.0	189831.0	572963.0	170829.0	586445.0	182961.0	534039.0	196693.0	603126.0	570212.0	183690.0	653824.0	169114.0	600934.0	202563.0	173071.0	603301.0	167115.0	596924.0	289548.0	212177.0
GCF_005080885_1	158230.0	231735.0	565266.0	166917.0	578144.0	502566.0	196223.0	540486.0	162813.0	561345.0	189737.0	632796.0	203548.0	524484.0	559680.0	182972.0	532811.0	165876.0	523444.0	206465.0	163581.0	525874.0	157188.0	560638.0	274768.0	195772.0
GCF_005081185_1	149315.0	216608.0	610849.0	157936.0	587950.0	534132.0	183539.0	652461.0	153572.0	588809.0	173305.0	538965.0	183562.0	553598.0	574976.0	166263.0	575145.0	156004.0	549724.0	198722.0	155129.0	552813.0	151626.0	595522.0	283338.0	193872.0
GCF_005081705_1	152036.0	223660.0	616662.0	157347.0	615386.0	556137.0	179374.0	585731.0	148383.0	652809.0	170786.0	559415.0	176426.0	579020.0	609750.0	169683.0	590672.0	151471.0	571668.0	206135.0	152412.0	579205.0	147447.0	618746.0	283285.0	198293.0
GCF_005081945_1	163203.0	235385.0	616713.0	176274.0	615457.0	558831.0	203002.0	591405.0	166856.0	619141.0	182275.0	564652.0	196502.0	577118.0	597551.0	188450.0	597864.0	162925.0	571208.0	207242.0	171104.0	579844.0	165514.0	654826.0	294401.0	208690.0
GCF_005082365_1	155136.0	217810.0	597412.0	163310.0	596998.0	542207.0	189101.0	578801.0	159240.0	607992.0	174757.0	552634.0	182605.0	560238.0	641024.0	175196.0	572628.0	156089.0	553264.0	204338.0	163855.0	555115.0	157712.0	595983.0	287248.0	203486.0
