layers	GCF_900698845_1	GCF_005080825_1	GCF_005082825_1	GCF_900698905_1	GCF_005083565_1	GCF_009068925_1	GCF_900698915_1	GCF_005081185_1	GCF_900698975_1	GCF_005081705_1	GCF_900699035_1	GCF_005080885_1	GCF_900698895_1	GCF_009069125_1	GCF_005082365_1	GCF_900698945_1	GCF_005080845_1	GCF_900560745_1	GCF_005083345_1	GCF_005080725_1	GCF_900698865_1	GCF_005083105_1	GCF_900699025_1	GCF_005081945_1	GCF_005080745_1	GCF_005080765_1
GCF_005080725_1	42740.0	56493.0	60533.0	47642.0	59281.0	57796.0	50796.0	59140.0	45407.0	57974.0	47821.0	60193.0	50955.0	62272.0	60236.0	48779.0	59716.0	43247.0	61217.0	0.0	45028.0	61684.0	43799.0	59394.0	54223.0	43284.0
GCF_005080745_1	45212.0	56761.0	84196.0	47963.0	84545.0	79752.0	52707.0	76833.0	43639.0	80514.0	49372.0	80347.0	50413.0	81253.0	80554.0	48545.0	84784.0	43943.0	80128.0	52169.0	46800.0	82119.0	41714.0	83633.0	0.0	51700.0
GCF_005080765_1	39473.0	51086.0	58446.0	44549.0	58465.0	54173.0	47390.0	54439.0	39589.0	58296.0	44460.0	57553.0	47097.0	57831.0	59764.0	46035.0	56557.0	42833.0	56812.0	44855.0	41737.0	59069.0	41118.0	56696.0	49104.0	0.0
GCF_005080825_1	46912.0	0.0	69797.0	48399.0	66917.0	66293.0	58104.0	63894.0	46854.0	64157.0	54735.0	67251.0	56777.0	71129.0	67040.0	51473.0	69812.0	46376.0	68940.0	50774.0	46914.0	72913.0	45694.0	65822.0	49625.0	55111.0
GCF_005080845_1	50966.0	71440.0	133846.0	50692.0	128908.0	126357.0	55631.0	132533.0	50828.0	130607.0	53722.0	124899.0	58219.0	121045.0	128403.0	54315.0	0.0	50306.0	126234.0	59815.0	51261.0	125856.0	49654.0	132648.0	85064.0	62573.0
GCF_005080885_1	46229.0	68195.0	118546.0	49066.0	106849.0	125416.0	57344.0	117360.0	47749.0	112573.0	55946.0	0.0	60096.0	125490.0	115048.0	53803.0	123483.0	48832.0	128382.0	60915.0	48050.0	127998.0	45894.0	116342.0	79708.0	57071.0
GCF_005081185_1	43772.0	63315.0	88654.0	46103.0	114731.0	133961.0	53703.0	0.0	44918.0	118971.0	50577.0	117781.0	53846.0	132674.0	119002.0	48550.0	132836.0	46109.0	135268.0	58579.0	45433.0	134500.0	44706.0	119114.0	83096.0	56544.0
GCF_005081705_1	44515.0	65764.0	117168.0	46074.0	103542.0	137037.0	52295.0	117911.0	43163.0	0.0	49737.0	112539.0	51306.0	136184.0	100294.0	49930.0	131741.0	44357.0	137528.0	61176.0	44444.0	138893.0	42948.0	115952.0	82614.0	58466.0
GCF_005081945_1	48078.0	69273.0	114891.0	52031.0	110356.0	136626.0	59554.0	117572.0	49015.0	115294.0	53271.0	117533.0	57641.0	133911.0	115812.0	55542.0	132800.0	48047.0	136278.0	61040.0	50278.0	137596.0	48927.0	0.0	85529.0	60890.0
GCF_005082365_1	45010.0	63186.0	118049.0	47308.0	106914.0	133469.0	55182.0	120113.0	46308.0	99235.0	50759.0	113881.0	52842.0	131711.0	0.0	51293.0	129034.0	45327.0	133463.0	59820.0	47971.0	132489.0	46039.0	116062.0	83756.0	59368.0
